class	GeneID
non-siRNA-PPR	AT4G13650.1
non-siRNA-PPR	AT4G21900.1
non-siRNA-PPR	AT3G26630.1
non-siRNA-PPR	AT3G15590.1
non-siRNA-PPR	AT2G18520.1
non-siRNA-PPR	AT4G01400.1
non-siRNA-PPR	AT3G60040.1
non-siRNA-PPR	AT3G58590.1
non-siRNA-PPR	AT1G25360.1
non-siRNA-PPR	AT1G06140.1
non-siRNA-PPR	AT1G71060.1
non-siRNA-PPR	AT2G29760.1
non-siRNA-PPR	AT1G68930.1
non-siRNA-PPR	AT5G06400.1
non-siRNA-PPR	AT3G28660.1
non-siRNA-PPR	AT2G40720.1
non-siRNA-PPR	AT1G52640.1
non-siRNA-PPR	AT5G08510.1
non-siRNA-PPR	AT5G24830.1
non-siRNA-PPR	AT4G16835.1
non-siRNA-PPR	AT3G48250.1
non-siRNA-PPR	AT2G01740.1
non-siRNA-PPR	AT1G77360.1
non-siRNA-PPR	AT1G02060.1
non-siRNA-PPR	AT3G26540.1
non-siRNA-PPR	AT3G01580.1
non-siRNA-PPR	AT1G20300.1
non-siRNA-PPR	AT1G09900.1
non-siRNA-PPR	AT5G65570.1
non-siRNA-PPR	AT4G17616.1
non-siRNA-PPR	AT2G13600.1
non-siRNA-PPR	AT5G47460.1
non-siRNA-PPR	AT4G18840.1
non-siRNA-PPR	AT3G56550.1
non-siRNA-PPR	AT3G49710.1
non-siRNA-PPR	AT3G15130.1
non-siRNA-PPR	AT2G42920.1
non-siRNA-PPR	AT2G03380.1
non-siRNA-PPR	AT2G02150.1
non-siRNA-PPR	AT1G71420.1
non-siRNA-PPR	AT1G32415.1
non-siRNA-PPR	AT1G26900.1
non-siRNA-PPR	AT1G22830.2
non-siRNA-PPR	AT5G40400.1
non-siRNA-PPR	AT1G55630.1
non-siRNA-PPR	AT5G18390.1
non-siRNA-PPR	AT3G14580.1
non-siRNA-PPR	AT3G03580.1
non-siRNA-PPR	AT2G35030.1
non-siRNA-PPR	AT1G71490.1
non-siRNA-PPR	AT1G06710.1
non-siRNA-PPR	AT5G47360.1
non-siRNA-PPR	AT5G46100.1
non-siRNA-PPR	AT5G12100.1
non-siRNA-PPR	AT4G11690.1
non-siRNA-PPR	AT3G49740.1
non-siRNA-PPR	AT3G47530.1
non-siRNA-PPR	AT1G51965.1
non-siRNA-PPR	AT1G09410.1
non-siRNA-PPR	AT5G28380.1
non-siRNA-PPR	AT5G28340.1
non-siRNA-PPR	AT3G26782.1
non-siRNA-PPR	AT2G28050.1
non-siRNA-PPR	AT2G02980.1
non-siRNA-PPR	AT1G74600.1
non-siRNA-PPR	AT1G69290.1
non-siRNA-PPR	AT1G13800.1
non-siRNA-PPR	AT2G22410.1
non-siRNA-PPR	AT5G66631.1
non-siRNA-PPR	AT5G65820.1
non-siRNA-PPR	AT5G61400.1
non-siRNA-PPR	AT5G59600.1
non-siRNA-PPR	AT5G59200.1
non-siRNA-PPR	AT5G56310.1
non-siRNA-PPR	AT5G52850.1
non-siRNA-PPR	AT5G52630.1
non-siRNA-PPR	AT5G50390.1
non-siRNA-PPR	AT5G46460.1
non-siRNA-PPR	AT5G43820.1
non-siRNA-PPR	AT5G42450.1
non-siRNA-PPR	AT5G40410.1
non-siRNA-PPR	AT5G40405.1
non-siRNA-PPR	AT5G39680.1
non-siRNA-PPR	AT5G18950.1
non-siRNA-PPR	AT5G16860.1
non-siRNA-PPR	AT5G15300.1
non-siRNA-PPR	AT5G11310.1
non-siRNA-PPR	AT5G09950.1
non-siRNA-PPR	AT5G08490.1
non-siRNA-PPR	AT5G06540.1
non-siRNA-PPR	AT5G03800.1
non-siRNA-PPR	AT5G03560.2
non-siRNA-PPR	AT4G39952.1
non-siRNA-PPR	AT4G39530.1
non-siRNA-PPR	AT4G38010.1
non-siRNA-PPR	AT4G37170.1
non-siRNA-PPR	AT4G36680.1
non-siRNA-PPR	AT4G35130.1
non-siRNA-PPR	AT4G31070.1
non-siRNA-PPR	AT4G30700.1
non-siRNA-PPR	AT4G22760.1
non-siRNA-PPR	AT4G21300.1
non-siRNA-PPR	AT4G20770.1
non-siRNA-PPR	AT4G19220.1
non-siRNA-PPR	AT4G19191.1
non-siRNA-PPR	AT4G15720.1
non-siRNA-PPR	AT4G14820.1
non-siRNA-PPR	AT4G14170.1
non-siRNA-PPR	AT4G08210.1
non-siRNA-PPR	AT4G04370.1
non-siRNA-PPR	AT4G01990.1
non-siRNA-PPR	AT3G61170.1
non-siRNA-PPR	AT3G57430.1
non-siRNA-PPR	AT3G53360.1
